timestamp,total_active_power_kw
2002-02-01 00:00:00,180.1929999999998
2002-02-01 00:05:00,163.6229999999997
2002-02-01 00:10:00,162.52699999999973
2002-02-01 00:15:00,174.8499999999999
2002-02-01 00:20:00,168.15099999999987
2002-02-01 00:25:00,177.28599999999977
2002-02-01 00:30:00,172.43699999999976
2002-02-01 00:35:00,137.21099999999993
2002-02-01 00:40:00,156.8549999999997
2002-02-01 00:45:00,154.09799999999967
2002-02-01 00:50:00,150.40299999999982
2002-02-01 00:55:00,127.25399999999988
2002-02-01 01:00:00,120.2939999999998
2002-02-01 01:05:00,108.96499999999986
2002-02-01 01:10:00,154.11599999999981
2002-02-01 01:15:00,123.1359999999998
2002-02-01 01:20:00,126.83599999999976
2002-02-01 01:25:00,128.99799999999968
2002-02-01 01:30:00,149.00199999999984
2002-02-01 01:35:00,105.26799999999986
2002-02-01 01:40:00,124.14199999999977
2002-02-01 01:45:00,143.53699999999986
2002-02-01 01:50:00,118.62299999999986
2002-02-01 01:55:00,129.50999999999985
2002-02-01 02:00:00,124.90599999999984
2002-02-01 02:05:00,111.03699999999985
2002-02-01 02:10:00,139.18699999999973
2002-02-01 02:15:00,130.2439999999998
2002-02-01 02:20:00,113.76899999999985
2002-02-01 02:25:00,126.91699999999983
2002-02-01 02:30:00,134.4569999999997
2002-02-01 02:35:00,133.56899999999985
2002-02-01 02:40:00,133.51999999999978
2002-02-01 02:45:00,118.52399999999987
2002-02-01 02:50:00,131.41599999999983
2002-02-01 02:55:00,143.56499999999974
2002-02-01 03:00:00,127.52099999999984
2002-02-01 03:05:00,129.14199999999985
2002-02-01 03:10:00,126.66599999999985
2002-02-01 03:15:00,148.94199999999984
2002-02-01 03:20:00,148.83799999999985
2002-02-01 03:25:00,114.65099999999988
2002-02-01 03:30:00,109.65699999999983
2002-02-01 03:35:00,117.16299999999988
2002-02-01 03:40:00,110.97599999999984
2002-02-01 03:45:00,136.53899999999982
2002-02-01 03:50:00,117.56799999999986
2002-02-01 03:55:00,110.71199999999982
2002-02-01 04:00:00,137.8809999999998
2002-02-01 04:05:00,134.79799999999983
2002-02-01 04:10:00,139.92099999999982
2002-02-01 04:15:00,133.79999999999987
2002-02-01 04:20:00,131.16099999999986
2002-02-01 04:25:00,130.44799999999984
2002-02-01 04:30:00,146.34599999999986
2002-02-01 04:35:00,146.53199999999984
2002-02-01 04:40:00,112.05599999999984
2002-02-01 04:45:00,149.07399999999976
2002-02-01 04:50:00,130.49399999999983
2002-02-01 04:55:00,149.7119999999997
2002-02-01 05:00:00,131.6569999999998
2002-02-01 05:05:00,166.51499999999987
2002-02-01 05:10:00,182.0979999999996
2002-02-01 05:15:00,149.2329999999997
2002-02-01 05:20:00,158.0979999999998
2002-02-01 05:25:00,172.87499999999972
2002-02-01 05:30:00,206.04999999999944
2002-02-01 05:35:00,239.7149999999995
2002-02-01 05:40:00,178.91099999999975
2002-02-01 05:45:00,183.02099999999987
2002-02-01 05:50:00,239.8359999999996
2002-02-01 05:55:00,205.83599999999961
2002-02-01 06:00:00,282.1999999999998
2002-02-01 06:05:00,251.88299999999947
2002-02-01 06:10:00,260.90599999999955
2002-02-01 06:15:00,271.3659999999995
2002-02-01 06:20:00,314.01599999999945
2002-02-01 06:25:00,294.62699999999955
2002-02-01 06:30:00,269.18399999999986
2002-02-01 06:35:00,292.13099999999946
2002-02-01 06:40:00,266.62599999999975
2002-02-01 06:45:00,291.1269999999996
2002-02-01 06:50:00,304.9689999999996
2002-02-01 06:55:00,283.93999999999966
2002-02-01 07:00:00,221.87199999999964
2002-02-01 07:05:00,272.1129999999996
2002-02-01 07:10:00,259.9609999999999
2002-02-01 07:15:00,221.84699999999975
2002-02-01 07:20:00,250.39199999999977
2002-02-01 07:25:00,235.26199999999992
2002-02-01 07:30:00,240.39999999999964
2002-02-01 07:35:00,226.8089999999996
2002-02-01 07:40:00,236.89599999999984
2002-02-01 07:45:00,252.2919999999996
2002-02-01 07:50:00,233.10699999999957
2002-02-01 07:55:00,210.21799999999962
2002-02-01 08:00:00,218.0269999999998
2002-02-01 08:05:00,259.9299999999998
2002-02-01 08:10:00,231.92199999999977
2002-02-01 08:15:00,228.76599999999974
2002-02-01 08:20:00,227.6109999999995
2002-02-01 08:25:00,232.36899999999974
2002-02-01 08:30:00,188.60299999999964
2002-02-01 08:35:00,203.01799999999957
2002-02-01 08:40:00,231.32399999999964
2002-02-01 08:45:00,198.63499999999974
2002-02-01 08:50:00,210.24799999999976
2002-02-01 08:55:00,201.6699999999999
2002-02-01 09:00:00,166.58699999999985
2002-02-01 09:05:00,188.8359999999999
2002-02-01 09:10:00,195.92699999999968
2002-02-01 09:15:00,243.9039999999998
2002-02-01 09:20:00,225.5299999999998
2002-02-01 09:25:00,206.41099999999966
2002-02-01 09:30:00,192.1669999999996
2002-02-01 09:35:00,185.88899999999947
2002-02-01 09:40:00,161.91199999999975
2002-02-01 09:45:00,198.22099999999975
2002-02-01 09:50:00,160.61999999999983
2002-02-01 09:55:00,146.62899999999985
2002-02-01 10:00:00,188.39699999999988
2002-02-01 10:05:00,190.9109999999999
2002-02-01 10:10:00,180.58399999999963
2002-02-01 10:15:00,183.6059999999998
2002-02-01 10:20:00,167.4679999999999
2002-02-01 10:25:00,187.44499999999982
2002-02-01 10:30:00,160.44699999999972
2002-02-01 10:35:00,175.95199999999986
2002-02-01 10:40:00,170.0059999999998
2002-02-01 10:45:00,163.70499999999973
2002-02-01 10:50:00,158.87099999999975
2002-02-01 10:55:00,137.83899999999974
2002-02-01 11:00:00,145.76099999999983
2002-02-01 11:05:00,171.9669999999998
2002-02-01 11:10:00,149.77699999999973
2002-02-01 11:15:00,151.25999999999982
2002-02-01 11:20:00,153.8239999999999
2002-02-01 11:25:00,159.5859999999998
2002-02-01 11:30:00,151.206
2002-02-01 11:35:00,167.0179999999998
2002-02-01 11:40:00,168.2119999999999
2002-02-01 11:45:00,158.99199999999993
2002-02-01 11:50:00,178.2669999999998
2002-02-01 11:55:00,194.72099999999995
2002-02-01 12:00:00,205.25799999999992
2002-02-01 12:05:00,160.194
2002-02-01 12:10:00,154.8549999999998
2002-02-01 12:15:00,169.76199999999986
2002-02-01 12:20:00,176.32399999999956
2002-02-01 12:25:00,168.3339999999998
2002-02-01 12:30:00,136.44499999999985
2002-02-01 12:35:00,144.02899999999977
2002-02-01 12:40:00,165.80799999999988
2002-02-01 12:45:00,161.60399999999987
2002-02-01 12:50:00,149.25299999999984
2002-02-01 12:55:00,177.44499999999982
2002-02-01 13:00:00,137.87799999999982
2002-02-01 13:05:00,153.16699999999977
2002-02-01 13:10:00,141.2109999999999
2002-02-01 13:15:00,137.1669999999999
2002-02-01 13:20:00,152.13999999999984
2002-02-01 13:25:00,143.4179999999999
2002-02-01 13:30:00,143.75699999999975
2002-02-01 13:35:00,141.46999999999983
2002-02-01 13:40:00,169.66699999999983
2002-02-01 13:45:00,136.49899999999988
2002-02-01 13:50:00,151.38199999999978
2002-02-01 13:55:00,130.9429999999999
2002-02-01 14:00:00,169.1229999999998
