tp,fp,precision,recall_event,f1,f_half,n_flagged,f_half_sd,window,sigma,recall_at_1.5sd,recall_at_2sd,recall_at_3sd,recall_at_4sd,recall_at_6sd,recall_at_8sd
26.2,1853.52,0.013927385145984319,0.42533333333333334,0.026949457257991426,0.017264145131546157,1879.72,0.004076204215541494,12,2.5,0.6229508196721312,0.6984126984126984,0.6833333333333333,0.7647058823529411,0.6612903225806451,0.7121212121212122
24.8,975.72,0.02475733525132457,0.4133333333333333,0.046638291346429064,0.030476082157803053,1000.52,0.0075834423741041055,12,3.0,0.6229508196721312,0.6825396825396826,0.6833333333333333,0.7647058823529411,0.6612903225806451,0.7121212121212122
23.12,566.24,0.03913816627009717,0.396,0.07106173680155922,0.0477091304843355,589.36,0.011790860239273376,12,3.5,0.6065573770491803,0.6507936507936508,0.65,0.7647058823529411,0.6612903225806451,0.7121212121212122
21.52,321.0,0.0626038128368133,0.3826666666666667,0.10724631559744605,0.07510120662612427,342.52,0.01782917130771168,12,4.0,0.5409836065573771,0.6349206349206349,0.65,0.7647058823529411,0.6612903225806451,0.7121212121212122
17.64,127.88,0.12036162950448888,0.348,0.1777517294309299,0.13814465229453732,145.52,0.03341774976084757,12,5.0,0.4262295081967213,0.5396825396825397,0.6166666666666667,0.7647058823529411,0.6451612903225806,0.7121212121212122
14.96,57.88,0.20260087007643718,0.30933333333333335,0.24317313892481301,0.21684589947249275,72.84,0.05246171858344889,12,6.0,0.3114754098360656,0.49206349206349204,0.5333333333333333,0.7450980392156863,0.6290322580645161,0.7121212121212122
11.36,17.24,0.38601163458619525,0.26,0.30868394471690586,0.34999817325772126,28.6,0.0827610321164972,12,8.0,0.19672131147540983,0.31746031746031744,0.48333333333333334,0.6862745098039216,0.6290322580645161,0.7121212121212122
9.2,5.04,0.6219484404484404,0.22266666666666665,0.32601033355278425,0.4544285749104342,14.24,0.10103715939322508,12,10.0,0.13114754098360656,0.25396825396825395,0.35,0.6274509803921569,0.5806451612903226,0.7121212121212122
84.76,2029.04,0.040053742653579506,0.708,0.07573539402517766,0.049354272774836866,2113.8,0.008733647383077574,24,2.0,0.9180327868852459,0.9047619047619048,0.9833333333333333,1.0,1.0,1.0
76.8,810.4,0.0863528412624656,0.6813333333333332,0.1530119214773821,0.10457135672352867,887.2,0.016660350240994094,24,2.5,0.819672131147541,0.8412698412698413,0.9833333333333333,1.0,1.0,1.0
69.04,336.6,0.16955927088698014,0.6453333333333333,0.26785149948285364,0.1986999368865616,405.64,0.025752999990784262,24,3.0,0.7049180327868853,0.7936507936507936,0.9666666666666667,1.0,1.0,1.0
62.44,136.32,0.31188120722052964,0.5973333333333334,0.40854552626300294,0.34435401272959043,198.76,0.041285012894628055,24,3.5,0.5901639344262295,0.7301587301587301,0.95,1.0,1.0,1.0
55.92,60.96,0.47415602765649034,0.5653333333333334,0.5140764074802907,0.4890177335335947,116.88,0.04476403809503081,24,4.0,0.5573770491803278,0.6666666666666666,0.9,1.0,1.0,1.0
44.6,11.32,0.7901282221073839,0.49066666666666664,0.6019285565703743,0.7005061144000705,55.92,0.05953306196255785,24,5.0,0.32786885245901637,0.5873015873015873,0.8666666666666667,1.0,0.967741935483871,0.9848484848484849
35.52,2.36,0.9342580751929045,0.42266666666666663,0.57781794677922,0.7460680555057153,37.88,0.06293226004129532,24,6.0,0.22950819672131148,0.47619047619047616,0.7333333333333333,0.9411764705882353,0.9354838709677419,0.9848484848484849
24.04,1.04,0.953525362837525,0.312,0.4670921089954349,0.6696791737857773,25.08,0.0650574036306742,24,8.0,0.11475409836065574,0.2698412698412698,0.5666666666666667,0.8235294117647058,0.8709677419354839,0.9545454545454546
17.84,0.0,1.0,0.252,0.3993250983162634,0.6193016355796257,17.84,0.07429008591910287,24,10.0,0.06557377049180328,0.1746031746031746,0.4166666666666667,0.6666666666666666,0.8225806451612904,0.8787878787878788
85.76,1078.48,0.07351714099447267,0.6973333333333334,0.13282149204653756,0.089499409558117,1164.24,0.014463396330814825,48,2.0,0.8360655737704918,0.8571428571428571,1.0,1.0,1.0,1.0
78.16,327.96,0.1914992233088081,0.6426666666666666,0.2942989730369817,0.2225647137053194,406.12,0.03213467344483676,48,2.5,0.7049180327868853,0.7301587301587301,0.9833333333333333,1.0,1.0,1.0
72.8,104.64,0.40699878265449974,0.604,0.4849924109095716,0.4347836404716551,177.44,0.0461808508736495,48,3.0,0.6557377049180327,0.6349206349206349,0.9166666666666666,1.0,1.0,1.0
67.36,34.84,0.6532125939248705,0.5733333333333334,0.6087008390014548,0.6340332446864378,102.2,0.05014168901369335,48,3.5,0.5573770491803278,0.6190476190476191,0.9,1.0,1.0,1.0
62.56,13.8,0.8140729256686013,0.5359999999999999,0.6427456740790357,0.7339789818165287,76.36,0.05283169193343275,48,4.0,0.4098360655737705,0.5555555555555556,0.8333333333333334,1.0,0.9838709677419355,1.0
50.2,3.96,0.9243732017400624,0.44666666666666666,0.5993520868099939,0.7576175873372702,54.16,0.04506355979644195,48,5.0,0.29508196721311475,0.38095238095238093,0.7,0.8431372549019608,0.967741935483871,1.0
38.6,1.0,0.9735296123740609,0.3746666666666667,0.5385508995199342,0.7335490974551209,39.6,0.046933246182245966,48,6.0,0.21311475409836064,0.2698412698412698,0.6,0.803921568627451,0.9354838709677419,1.0
22.96,0.0,1.0,0.24666666666666667,0.3923134812918095,0.6117003570550991,22.96,0.08123274716834802,48,8.0,0.06557377049180328,0.12698412698412698,0.38333333333333336,0.5490196078431373,0.7903225806451613,0.9090909090909091
16.68,0.0,1.0,0.19333333333333333,0.32057073543141656,0.5343823061238546,16.68,0.08859891480420894,48,10.0,0.01639344262295082,0.06349206349206349,0.2833333333333333,0.47058823529411764,0.6290322580645161,0.8484848484848485
80.64,632.64,0.11260670632857829,0.64,0.1910021028667442,0.13471115210971024,713.28,0.02337567445618718,96,2.0,0.6885245901639344,0.7301587301587301,0.9666666666666667,1.0,1.0,1.0
71.4,127.56,0.3549590391134162,0.5826666666666667,0.4395563001979015,0.38434416266050525,198.96,0.05393391243078727,96,2.5,0.5737704918032787,0.6349206349206349,0.9333333333333333,1.0,1.0,1.0
62.48,20.72,0.7438482225539655,0.5146666666666667,0.6054467588084617,0.6802731523884745,83.2,0.05522594660686267,96,3.0,0.5245901639344263,0.47619047619047616,0.8333333333333334,0.9607843137254902,0.9838709677419355,1.0
54.64,8.72,0.8567963646601843,0.4546666666666666,0.5905119362802123,0.723690128140821,63.36,0.056475139857688074,96,3.5,0.39344262295081966,0.36507936507936506,0.7833333333333333,0.9215686274509803,0.967741935483871,1.0
47.48,1.96,0.9580911595403646,0.4053333333333333,0.5657407527096864,0.746837128554138,49.44,0.05597482088985093,96,4.0,0.29508196721311475,0.31746031746031744,0.7166666666666667,0.8431372549019608,0.9193548387096774,1.0
36.16,0.0,1.0,0.32533333333333336,0.485082288413333,0.695050710427574,36.16,0.08379099063758731,96,5.0,0.09836065573770492,0.20634920634920634,0.5166666666666667,0.7450980392156863,0.8548387096774194,0.9696969696969697
26.84,0.0,1.0,0.26666666666666666,0.4158515374689958,0.6330613965764134,26.84,0.08646014796050489,96,6.0,0.06557377049180328,0.12698412698412698,0.4166666666666667,0.6078431372549019,0.8064516129032258,0.9242424242424242
15.64,0.0,1.0,0.17466666666666664,0.29252666712419034,0.49739098060609627,15.64,0.11535040224717681,96,8.0,0.0,0.031746031746031744,0.16666666666666666,0.37254901960784315,0.6612903225806451,0.8333333333333334
9.96,0.0,1.0,0.124,0.21590465511717885,0.39342563570050443,9.96,0.13729246258755384,96,10.0,0.0,0.0,0.06666666666666667,0.2549019607843137,0.5,0.6818181818181818
72.6,1468.76,0.047002413992004326,0.5813333333333333,0.08681205670254755,0.057558891738432136,1541.36,0.011849326738361352,144,2.0,0.5573770491803278,0.6190476190476191,0.95,1.0,1.0,1.0
61.88,423.28,0.12682340932198832,0.504,0.20201261792128078,0.14898034257431664,485.16,0.02697020732772744,144,2.5,0.3770491803278688,0.5238095238095238,0.85,1.0,1.0,1.0
52.4,117.44,0.30464360722014655,0.44133333333333336,0.35901552039966844,0.3240664345294023,169.84,0.05271586052996155,144,3.0,0.2786885245901639,0.4126984126984127,0.7833333333333333,0.9411764705882353,0.9354838709677419,1.0
45.96,21.28,0.6751600011971925,0.384,0.4861687729280972,0.5822947099507373,67.24,0.07030364609226657,144,3.5,0.18032786885245902,0.23809523809523808,0.6333333333333333,0.8823529411764706,0.9354838709677419,1.0
39.88,4.84,0.8848374548461203,0.3413333333333334,0.48939482799101497,0.6654590666666371,44.72,0.06914558127357065,144,4.0,0.13114754098360656,0.1746031746031746,0.5333333333333333,0.7843137254901961,0.9193548387096774,0.9848484848484849
27.68,0.0,1.0,0.24933333333333332,0.39468814210035985,0.6130560013473396,27.68,0.08492211848546784,144,5.0,0.04918032786885246,0.06349206349206349,0.4,0.5294117647058824,0.7903225806451613,0.9393939393939394
21.04,0.0,1.0,0.2,0.3283357928713966,0.5399551804661984,21.04,0.10903305188931578,144,6.0,0.01639344262295082,0.031746031746031744,0.2,0.39215686274509803,0.7419354838709677,0.8939393939393939
12.24,0.0,1.0,0.12933333333333333,0.22378344299596672,0.40211402333626056,12.24,0.15299245596124242,144,8.0,0.0,0.0,0.05,0.19607843137254902,0.532258064516129,0.7727272727272727
6.16,0.0,1.0,0.088,0.15598146003269345,0.29382467250821004,6.16,0.17812175410240919,144,10.0,0.0,0.0,0.0,0.09803921568627451,0.3387096774193548,0.6060606060606061
78.64,2849.76,0.026832321004839576,0.5986666666666667,0.05132926886363519,0.03316298853296343,2928.4,0.006227651406861793,288,2.0,0.36065573770491804,0.5714285714285714,0.9,1.0,1.0,1.0
47.0,805.08,0.05494823924877187,0.41600000000000004,0.0966793125553858,0.06640772474018565,852.08,0.016220756366441918,288,2.5,0.2786885245901639,0.4126984126984127,0.8,0.9607843137254902,1.0,1.0
35.56,172.4,0.1684802350646268,0.324,0.2194678738036447,0.18549415315484233,207.96,0.0462644337532138,288,3.0,0.14754098360655737,0.30158730158730157,0.5333333333333333,0.9215686274509803,1.0,1.0
28.6,27.8,0.4934858597362832,0.2733333333333333,0.34818506751305023,0.4207043666305814,56.4,0.08099781235667272,288,3.5,0.03278688524590164,0.15873015873015872,0.4166666666666667,0.803921568627451,0.9838709677419355,1.0
24.4,4.04,0.8441290270058045,0.24133333333333332,0.3701413684505573,0.5501687187456795,28.44,0.10608313107120217,288,4.0,0.01639344262295082,0.09523809523809523,0.25,0.7058823529411765,0.9193548387096774,1.0
19.24,0.0,1.0,0.19466666666666668,0.31908870310897675,0.5246600967102786,19.24,0.13629249209429797,288,5.0,0.0,0.0,0.11666666666666667,0.43137254901960786,0.8225806451612904,1.0
16.16,0.0,1.0,0.16133333333333336,0.2713820901392059,0.4649856789268507,16.16,0.152877287356129,288,6.0,0.0,0.0,0.03333333333333333,0.27450980392156865,0.6451612903225806,0.9848484848484849
8.2,0.0,1.0,0.09600000000000002,0.16901982097428014,0.31579542088015405,8.2,0.17004279662464444,288,8.0,0.0,0.0,0.0,0.0196078431372549,0.3387096774193548,0.7575757575757576
3.04,0.0,1.0,0.04266666666666667,0.07839830947041573,0.15879853085398918,3.04,0.15431987537585962,288,10.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.3939393939393939
